Name,Pieces,Minifigs
Shark Suit Guy,1,1
Wrestling Champion,1,1
Jewel Thief,1,1
Queen,1,1
LEGO Minifigures - Series 15 - Complete,17,17
LEGO Minifigures - Series 15 - Sealed Box,,
LEGO Minifigures - The Disney Series {Random bag},,
Stitch,1,1
Alien,1,1
Buzz Lightyear,1,1
Aladdin,1,1
Genie,1,1
Maleficent,1,1
Alice,1,1
Cheshire Cat,1,1
Daisy Duck,1,1
Donald Duck,1,1
Minnie Mouse,1,1
Mickey Mouse,1,1
Mr. Incredible,1,1
Syndrome,1,1
Peter Pan,1,1
Captain Hook,1,1
Ursula,1,1
Ariel,1,1
LEGO Minifigures - The Disney Series - Complete,18,18
LEGO Minifigures - The Disney Series - Sealed Box,,
LEGO Minifigures - Series 16 {Random bag},,
Ice Queen,1,1
Desert Warrior,1,1
Cyborg,1,1
Cute Little Devil,1,1
Spooky Boy,1,1
Hiker,1,1
Wildlife Photographer,1,1
Kickboxer,1,1
Scallywag Pirate,1,1
Penguin Boy,1,1
Rogue,1,1
Dog Show Winner,1,1
Mariachi,1,1
Spy,1,1
Banana Guy,1,1
Babysitter,2,2
LEGO Minifigures - Series 16 - Complete,17,17
LEGO Minifigures - Series 16 - Sealed Box,,
LEGO Minifigures - DFB Series {Random bag},,
Joachim Löw,1,1
Manuel Neuer,1,1
Jérôme Boateng,1,1
Mats Hummels,1,1
Benedikt Höwedes,1,1
Shkodran Mustafi,1,1
Bastian Schweinsteiger,1,1
Mesut Özil,1,1
Thomas Müller,1,1
Toni Kroos,1,1
Sami Khedira,1,1
André Schürrle,1,1
Marco Reus,1,1
Christoph Kramer,1,1
Mario Götze,1,1
Max Kruse,1,1
LEGO Minifigures - DFB Series - Complete,16,16
LEGO Minifigures - DFB Series - Sealed Box,,
Disney Castle,4080,7
Ghostbusters Level Pack,115,1
DC Comics Team Pack,92,2
Doc Brown,69,1
Stay Puft,65,1
Sensei Wu,58,1
Midway Arcade Level Pack,96,1
Superman,48,1
Aquaman,43,1
Cyberman,40,1
Lloyd,56,1
Bane,52,1
Slimer,33,1
New Ghostbusters: Play the Complete Movie,259,1
Sonic the Hedgehog Level Pack,101,1
Adventure Time Level Pack,102,1
Adventure Time Team Pack ,96,2
Harry Potter Team Pack,119,2
Mission Impossible Level Pack,76,1
B.A. Baracus,73,1
Fantastic Beasts and Where to Find Them: Play the Complete Movie,261,1
Gremlins Team Pack,94,2
Tina Goldstein,51,1
E.T.,42,1
Marceline the Vampire Queen,60,1
Uxar - Creature of Jungle,89,
Ketar - Creature of Stone,80,
Akida - Creature of Water,120,
Ikir - Creature of Fire,77,
Terak - Creature of Earth,74,
Lewa - Uniter of Jungle,79,
Pohatu - Uniter of Stone,90,
Gali - Uniter of Water,87,
Tahu - Uniter of Fire,132,
Onua - Uniter of Earth,143,
Umarak the Hunter,172,
Kopaka and Melum - Unity set,171,
Ekimu the Mask Maker,94,
Lava Beast,114,
Storm Beast,109,
Quake Beast,102,
Umarak the Destroyer,191,
Supergirl,6,1
Green Arrow,7,1
Assault on Hoth,2144,15
Rey,84,
First Order Stormtrooper,81,
Poe Dameron,102,
Finn,98,
Kylo Ren,86,
Captain Phasma,82,
Sergeant Jyn Erso,104,
K-2SO,169,
Imperial Death Trooper,106,
Resistance X-wing Fighter,87,1
First Order Snowspeeder,91,1
The Ghost,104,1
TIE Advanced Prototype,93,1
Wookiee Gunship,84,1
AT-DP,76,1
Resistance Trooper Battle Pack,112,4
First Order Battle Pack,88,4
Rebel Alliance Battle Pack,101,4
Galactic Empire Battle Pack,109,4
Obi-Wan's Jedi Interceptor,215,2
Droid Escape Pod,197,4
Carbon-Freezing Chamber,231,4
Hoth Attack,233,4
Battle on Takodana,409,5
Resistance Troop Transporter,646,4
Kanan's Speeder Bike,234,3
Homing Spider Droid,310,5
{?},,
Eclipse Fighter,363,2
Star Wars Advent Calendar,282,10
StarScavenger,558,4
Encounter on Jakku,530,4
Resistance X-wing Fighter,740,4
Vader's TIE Advanced vs. A-wing Starfighter,702,4
Clone Turbo Tank,903,6
Imperial Assault Hovertank,385,3
AT-ST Walker,449,3
TIE Striker,543,4
Rebel U-wing Fighter,659,5
Krennic's Imperial Shuttle,863,6
Captain Rex's AT-TE,972,5
Rebel Combat Frigate,936,5
Death Star,4016,27
Piggy Car Escape,74,2
Piggy Plane Attack,168,2
Bird Island Egg Heist,277,3
Pig City Teardown,386,4
Piggy Pirate Ship,620,4
King Pig's Castle,859,5
Firehouse Headquarters ,4634,10
Ecto-1 & 2,556,6
Chevrolet Corvette Z06,173,1
Ford Mustang GT,185,1
Audi R18 e-tron quattro,166,1
Audi R8 LMS ultra,175,1
Chevrolet Camaro Drag Race,445,3
Ford F-150 Raptor & Ford Model A Hot Rod,664,4
Porsche 919 Hybrid and 917K Pit Lane,732,5
Clash of the Heroes,92,2
Kryptonite Interception,306,3
Heroes of Justice: Sky High Battle,517,5
Black Panther Pursuit,287,3
Iron Skull Sub Attack,335,4
Avenjet Space Mission,523,5
Crossbones' Hazard Heist,179,3
Super Hero Airport Battle,807,7
Batman Classic TV Series - Batcave,2526,9
Gotham City Cycle Chase,224,3
Batman: Scarecrow Harvest of Fear,563,5
Batman: Killer Croc Sewer Smash,759,5
Batman: Rescue from Ra's al Ghul,257,4
Spider-Man: Web Warriors Ultimate Bridge Battle,1092,7
Spider-Man: Ghost Rider Team-Up,217,3
Spider-Man: Doc Ock's Tentacle Trap,446,5
Doctor Strange's Sanctum Sanctorum,358,3
Mighty Micros: Batman vs. Catwoman,79,2
Mighty Micros: Robin vs. Bane,77,2
Mighty Micros: The Flash vs. Captain Cold,88,2
Mighty Micros: Spider-Man vs. Green Goblin,85,2
Mighty Micros: Captain America vs. Red Skull,95,2
Mighty Micros: Hulk vs. Ultron,80,2
Tanker Truck Takedown,330,4
Miku The Dragon,,
Jynx the Witch's Cat,,
Lance,,
Jet Horse,,
Robin,,
Two Globlin Spiders,,
Lava Warrior,,
Knight Racer,,
Firecracker Catapult,,
Kid Clay,,
Bat-Gun,,
Mighty Mech Bot,,
Pilot Bot,,
Pony Grooming Kit,,
Parrot and Nest,,
Valentine's Post Box,,
Dog on stage,,
Chocolate Kitchen,,
Ice Cream Cart,,
Rabbit and hutch,,
Happy Beach,,
Cake stall,,
Olivia's Laboratory ,,
Halloween Shop,,
Gift wrapping table,,
Christmas Fireplace,,
Scorpion,,
Ekimu Falcon,,
Drinking Bottle—Blue,,
Drinking Bottle Pink,,
Drinking Bottle,,
"I Love LEGOLAND keychain, Male",,
Wrayth,,
NEXO KNIGHTS Macy's Mace,,
NEXO KNIGHTS Clay's Sword,,
NK Sword Standard,,
NK Shield Standard,,
Knight's Power Up Shield,,
Monster's Shield,,
NEXO KNIGHTS Knight s Dress Up,,
FK Role Play Dress up Bad guy,,
Knights Army-Building Set,4,4
Monsters Army-Building Set,4,4
NK Drinking Bottle,,
NK Tumbler,,
NK Playmat,,
Aaron Key Chain,,
Clay Key Chain,,
Macy Key Chain,,
Lance Key Chain,,
Keychain NK Jestro,,
NEXO KNIGHTS Monsters Sketch Book,,
NINJAGO Customizable Sword,,
NINJAGO Skybound Shield,,
NINJAGO Armor,,
NINJAGO Bandana,,
Skybound Jay Key Chain,,
Skybound Cole Key Chain,,
Ninjago Party Set,,
NINJAGO Accessory Set,4,4
Emma Key Chain,,
Andrea Key Chain,,
Mia Key Chain,,
Stephanie Key Chain,,
Olivia Key Chain,,
 Friends Hand Foot Fun,,
Campsite Scrapbook,,
Friends Mini-Doll Campsite Set,3,3
Emily Jones Key Chain,,
Elves Azari the Fire Elf Key Chain,,
Elves Aira the Wind Elf Key Chain,,
Elves Naida the Water Elf Key Chain,,
Elves Fledge the Baby Dragon Bag Charm,,
Elves Me and My Dragon Display,,
Elves Emily Jones' Diary Sketch Book,,
Prison Guard Key Chain,,
Notebook with Studs,,
Police Accessory Set,4,4
Hot Dog Guy Key Chain,,
Bumble Bee Key Chain,,
Yellow Car Bag Charm,,
Christmas Ornament Reindeer,More,
Minifigure Cake Mold,,
Key Rack,,
Superman Key Chain ,,
Batman Key Chain,,
Black Widow Key Chain,,
Captain America Key Chain,,
New York Minifigure Magnet,,
Statue of Liberty Magnet,,
New York Key Chain,,
Finn Key Chain,,
Rey Key Chain,,
BB 8 Key Chain,,
Poe Dameron Key Chain ,,
Skin Pack,4,4
Skin Pack,4,4
Marvel Super Heroes Minifigure Display Frame,,
Kai,,
Clouse,,
Cole,,
Sqiffy,,
Kai's Dragon,,
Cyren,,
Jay,,
Bucko ,,
Titanium Zane,,
Ronin,,
Pirate's Fighter,,
Nya,,
Millennium Falcon,,
Landspeeder,,
Naboo Starfighter,,
Probe Droid,,
AAT,,
Acklay,,
TIE Bomber,,
Yoda's Hut,,
AT-AT,,
MTT,,
Palpatine's Shuttle,,
Mini Milo,,
Max and Mia,2,2
The Panama Canal,1184,1
WeDo Replacement Pack 2,,
WeDo 2.0 Replacement Pack,,
FIRST LEGO League (FLL) Replacement Pack 2016 - Animal Allies,,
Education EV3 Design Engineering Projects,,
WeDo 2.0 Curriculum Pack,,
Elephant,,
Jet,,
Aircraft,,
Butterfly,,
Statue of Liberty,,
Truck,,
Turtle,,
Snowplough,,
Penguin,,
LEGO Truck Show,8,8
Jiaxing Factory 2016,406,
50 Years on Track,,
Silver Centurion,1,1
4 stud Pink Storage Brick,,
Nexo Knights Intro Pack,1,1
Battle Station,2,
King's Guard,1,1
Sky Pirates Battle,2,2
Cole,1,1
Jewelry and Sticker Pack,,
Friends Playmat,,
Wildlife Puzzle,1,
Playmat,,
Police Chase,3,
First Order General,1,1
Rebel A-wing Pilot,1,1
Accessory pack,,
Classic Knights Minifigure,1,1
Toy Soldier,1,
Musicians minifigure collection,4,4
Warriors minifigure collection,4,4
Iconic Easter Minifigure,1,1
Wonder Woman Minifigure Alarm Clock,,
Athletes minifigure collection,4,4
Cops and Robbers minifigure collection,4,4
Lucy Wyldstyle Minifigure Link Watch,,
NINJAGO Shadow of Ronin ,,
NINJAGO Shadow of Ronin,,
The Joker Key Light,,
WeDo 2.0 ReadyGo Classroom Packs,,
WeDo 2.0 YouCreate Classroom Packs,,
 WeDo 2.0 Add-On Power Pack,,
Anakin Skywalker Minifigure Watch,,
Classic Minifigure Link Watch,,
Yoda Minifigure Watch,,
Luke Skywalker Watch,,
4 stud Black Storage Brick,,
8 stud Bright Purple Storage Brick,,
8 stud Black Storage Brick,,
Darth Vader Watch,,
Superman Minifigure Link Watch,,
NINJAGO Luggage Tag,,
City Luggage Tag,,
Friends of Heartlake City Girlz 4 Life,,
Marvel Avengers XBOX 360 Video Game,,
Marvel Avengers Wii U Video Game,,
Marvel Avengers PS3 Video Game,,
Marvel Avengers Nintendo 3DS Video Game,,
Stormtrooper Kid's Watch,,
Batman Buildable Watch,,
Stephanie Watch with Mini-Doll,,
LEGO Buildable Ruler,,
LEGO Erasers (Blue Yellow),,
LEGO 3 Pack Gel Pen Set,,
LEGO Brick Pencil Case (Red),,
LEGO 9 Pack Graphite Pencils,,
LEGO Pencil Sharpeners,,
Aaron Minifigure Alarm Clock,,
Clay Minifigure Alarm Clock,,
Jay Minifigure Alarm Clock,,
Lloyd Minifigure Alarm Clock,,
Kai Minifigure Alarm Clock,,
Star Wars Episode VII poster ,,
The Force Awakens PS 4 Video Game – Deluxe Edition,,
The Force Awakens Xbox 360 Video Game,,
The Force Awakens Xbox One Video Game – Deluxe Edition,,
The Force Awakens PS 4 Video Game,,
The Force Awakens Xbox One Video Game,,
The Force Awakens Wii U Video Game,,
Journal with White Band,,
Stationery Organizer,,
9 Pack Gel Pen Set,,
9 Pack Marker Set,,
9 Pack Colored Pencil with Toppers Pack,,
Gingerbread Man,1,1
Stationery Kit,,
Nexo Knights Season 1 DVD,,
LEGO Mixels - Series 7 - Display Box,,
LEGO Mixels - Series 8 - Display Box,,
Escape the Space Slug,,
LEGO Star Wars: Droid Tales,,
"Bordeaux, France, Exclusive Minifigure Pack",,
Justice League: Cosmic Clash DVD/Blu-Ray,,
Justice League: Gotham City Breakout DVD/Blu-ray,,
Lou Seal Buildable Figure,,
LEGO DC Super Heroes: Character Encyclopedia ,1,1
LEGO Nexo Knights: The Book of Knights,,
LEGO Ninjago Character Encyclopedia: Updated and Expanded,1,1
LEGO Star Wars: Build Your Own Adventure,,
LEGO City: Build Your Own Adventure,,
The Complete LEGO Minifigure Catalogue,,
Brick History: Amazing Historical Scenes to Build from LEGO,,
"Building with Virtual LEGO: Getting Started with LEGO Digital Designer, LDraw, and Mecabricks",,
Brick History: A Brick History of the World in LEGO (US Edition),,
Brick Animals: 40 Clever & Creative Ideas to Make from LEGO (US Edition),,
Brick Cars: 40 Clever & Creative Ideas to Make from LEGO (US Edition),,
The Ultimate Guide to Collectible Minifigures,,
LEGO Star Wars: Chronicles of the Force,1,1
365 Things to Do with LEGO Bricks,,
The 2015 LEGO Minifigure Catalog: 1st Edition,,
The Star Wars LEGO Minifigure Catalog: 5th Edition,,
The 2014 LEGO Minifigure Catalog: 2nd Edition,,
The Middle Earth LEGO Minifigure Catalog,,
Tiny LEGO Wonders: Build 42 Impressive Miniscale Models,,
The LEGO Animation Book: Make Your Own LEGO Movies!,,
The Unofficial LEGO Technic Builder's Guide: 2nd Edition,,
The LEGO Christmas Ornaments Book: 15 Designs to Spread Holiday Cheer,,
Geeky LEGO Crafts: 21 Fun and Quirky Projects,,
Awesome LEGO Creations with Bricks You Already Have,,
Birds from Bricks: Designs That Make LEGO Take Flight,,
Brick by Brick: Space,,
The Greatest LEGO Builds of All Time,,
Build It! Volume 1,,
Build It! Volume 2,,
Build It! Volume 3,,
Build It! World Landmarks,,
LEGO Trains - concepts and techniques for realistic models,,
LEGO Tips for Kids: LEGO Space,,
Lester,1,1
LEGO Mixels - Series 9 - Display Box,,
Batgirl,,
Paris Forum Des Halles Exclusive Minifigure Pack,,
Red Sox Player,,
San Francisco Exclusive Minifigure Pack,,
Steve Rogers Captain America,1,1
Atom,,
Stockholm minifigure collection,,
LEGO Star Wars: The Freemaker Adventures - Complete Season One (DVD/Blu-ray),,
Captain America Mosaic,,
Cogsworth,,
Millennium Falcon,,
Frankenstein's Monster,,
Lumiere,,
Nexo Knights Shield Dock ,,
Winner's Podium,,
